Circuit,Model,Complexity,PromptOnly_Correct,MermaidOnly_Correct,Combined_Correct,PromptOnly_LOC,MermaidOnly_LOC,Combined_LOC,PromptOnly_Time,MermaidOnly_Time,Combined_Time,Best_Approach,Correctness_Ranking,Simulation_Ranking
combined,claude,simple,Yes,Yes,Yes,51,80,67,4.94s,11.44s,6.59s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,44,49,47,4.55s,5.12s,4.65s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,No,Yes,N/A,53,66,72,4.29s,9.32s,6.45s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,No,No,53,52,53,3.73s,7.65s,4.91s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,N/A,52,71,80,4.68s,12.03s,8.12s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,52,52,52,4.64s,6.60s,3.87s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,49,60,71,4.77s,11.12s,7.54s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,45,72,71,5.48s,24.41s,4.85s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,50,76,70,5.23s,11.52s,7.29s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,57,54,66,4.45s,8.18s,5.85s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,N/A,70,91,85,6.66s,12.07s,8.63s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,Yes,56,83,80,7.38s,13.52s,9.50s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,63,93,74,5.95s,12.27s,6.10s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,57,56,56,4.57s,7.47s,5.33s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,N/A,89,83,86,8.64s,12.27s,8.26s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,N/A,No,113,102,105,12.95s,17.84s,11.17s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,No,Yes,Yes,69,72,72,6.69s,9.96s,6.16s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,Yes,No,63,61,66,5.00s,7.52s,13.41s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,Yes,72,77,75,5.58s,10.32s,6.60s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,No,59,87,71,5.00s,13.98s,8.74s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,N/A,N/A,126,127,131,10.26s,15.67s,12.29s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,Yes,No,116,106,113,10.28s,18.60s,12.81s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,N/A,N/A,132,141,169,12.80s,18.68s,15.50s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,110,107,102,11.50s,11.56s,7.84s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,Yes,Yes,101,91,94,10.07s,13.62s,9.56s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,86,87,88,14.40s,10.86s,6.43s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,N/A,N/A,80,78,87,6.80s,12.22s,7.85s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,62,63,62,5.94s,8.37s,3.64s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,Yes,N/A,127,117,118,13.21s,16.52s,11.27s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,No,No,86,94,123,9.43s,8.69s,26.49s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
