Circuit,Model,Complexity,PromptOnly_Correct,MermaidOnly_Correct,Combined_Correct,PromptOnly_LOC,MermaidOnly_LOC,Combined_LOC,PromptOnly_Time,MermaidOnly_Time,Combined_Time,Best_Approach,Correctness_Ranking,Simulation_Ranking
combined,claude,simple,Yes,Yes,Yes,48,73,69,5.06s,11.27s,7.24s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,44,51,44,5.89s,6.97s,3.90s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,No,No,N/A,53,63,82,4.54s,8.18s,6.94s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,No,No,53,52,52,5.08s,8.09s,17.02s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,52,52,52,4.91s,7.66s,4.66s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,52,52,52,2.99s,7.50s,4.11s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,50,63,72,5.16s,9.09s,5.93s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,47,87,75,5.47s,14.66s,7.94s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,60,59,59,6.94s,12.41s,7.38s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,48,65,61,84.87s,10.86s,5.93s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,N/A,70,92,71,6.61s,12.70s,6.74s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,56,70,60,6.97s,12.84s,10.10s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,63,83,73,5.60s,11.70s,5.40s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,Yes,56,67,65,3.75s,8.24s,5.94s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,N/A,91,85,86,8.78s,12.75s,8.39s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,95,80,111,11.21s,9.80s,8.96s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,No,Yes,Yes,69,72,76,6.23s,10.18s,6.19s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,60,62,60,4.49s,12.91s,5.20s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,Yes,72,76,65,5.86s,10.51s,5.20s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,61,96,68,5.42s,13.99s,8.33s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,N/A,N/A,136,129,139,10.98s,15.74s,12.71s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,132,117,122,13.54s,25.31s,22.47s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,N/A,N/A,129,155,151,13.23s,18.10s,14.86s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,145,101,133,14.32s,17.23s,11.70s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,Yes,Yes,92,92,93,9.73s,12.30s,9.49s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,N/A,81,82,85,11.27s,14.11s,11.91s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,N/A,N/A,75,93,79,6.43s,12.87s,7.85s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,63,86,66,4.83s,21.98s,6.37s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,Yes,N/A,123,142,188,12.61s,20.25s,18.25s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,N/A,No,No,95,73,88,11.25s,11.89s,8.43s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
