Circuit,Model,Complexity,PromptOnly_Correct,MermaidOnly_Correct,Combined_Correct,PromptOnly_LOC,MermaidOnly_LOC,Combined_LOC,PromptOnly_Time,MermaidOnly_Time,Combined_Time,Best_Approach,Correctness_Ranking,Simulation_Ranking
combined,claude,simple,Yes,Yes,Yes,51,68,56,5.07s,9.37s,5.12s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,44,45,52,19.40s,8.22s,3.84s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,No,Yes,Yes,59,82,88,5.09s,10.46s,8.06s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,No,Yes,54,54,51,3.93s,6.22s,3.95s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,No,Yes,52,65,72,4.64s,10.32s,6.86s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,52,52,52,2.07s,5.59s,2.72s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,49,71,73,4.82s,10.31s,5.87s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,46,57,71,5.53s,9.22s,8.23s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,60,77,74,6.75s,11.81s,7.74s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,57,60,60,4.91s,6.40s,4.93s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,N/A,Yes,70,102,73,6.49s,13.69s,8.24s,tie,prompt_only > combined > mermaid_only,prompt_only > combined > mermaid_only
combined,gpt-4o,medium,Yes,Yes,Yes,55,90,88,4.88s,14.44s,13.64s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,63,86,74,5.81s,11.87s,5.68s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,55,55,57,3.69s,6.21s,3.55s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,89,89,84,8.32s,12.50s,7.83s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,111,71,105,9.26s,9.46s,8.49s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,68,66,72,6.48s,10.21s,6.41s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,65,64,67,4.62s,9.56s,4.98s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,Yes,67,76,75,6.06s,11.04s,7.37s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,No,59,85,84,4.73s,8.93s,5.84s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,N/A,N/A,140,122,109,11.46s,14.83s,10.19s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,No,Yes,112,118,99,7.62s,17.64s,8.34s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,complex,No,N/A,N/A,129,119,203,12.36s,16.80s,19.42s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > combined > mermaid_only
combined,gpt-4o,complex,No,N/A,N/A,117,108,109,12.32s,14.23s,9.63s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,N/A,N/A,97,0,0,10.06s,3.81s,0.00s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,78,83,99,11.04s,13.32s,10.85s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,N/A,N/A,74,75,88,6.86s,10.72s,7.26s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,63,60,65,4.97s,7.44s,5.59s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,No,N/A,137,132,180,14.47s,18.07s,16.90s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,Yes,No,88,88,93,5.54s,8.64s,6.46s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
