Circuit,Model,Complexity,PromptOnly_Correct,MermaidOnly_Correct,Combined_Correct,PromptOnly_LOC,MermaidOnly_LOC,Combined_LOC,PromptOnly_Time,MermaidOnly_Time,Combined_Time,Best_Approach,Correctness_Ranking,Simulation_Ranking
combined,claude,simple,Yes,Yes,Yes,48,80,58,4.74s,11.47s,6.24s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,54,53,40,5.28s,4.36s,2.24s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,No,Yes,N/A,54,73,87,4.47s,8.96s,9.25s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,Yes,Yes,53,50,51,2.41s,4.94s,2.14s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,No,52,64,73,4.55s,8.71s,7.10s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,52,52,53,2.41s,5.16s,3.11s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,49,56,71,4.89s,10.27s,6.38s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,No,47,68,70,2.24s,7.34s,3.90s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,49,57,70,4.95s,7.72s,7.52s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,Yes,Yes,62,54,71,3.81s,4.46s,2.67s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,70,76,79,6.56s,11.48s,7.49s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,55,65,64,2.42s,13.35s,3.63s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,N/A,Yes,73,66,74,5.63s,9.24s,6.01s,tie,prompt_only > combined > mermaid_only,prompt_only > combined > mermaid_only
combined,gpt-4o,medium,Yes,No,Yes,57,72,58,3.08s,6.15s,4.07s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,76,82,83,7.04s,12.70s,7.47s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,99,96,114,7.61s,7.96s,5.25s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,No,Yes,Yes,71,69,70,6.35s,12.11s,6.61s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,Yes,No,62,65,65,2.64s,5.33s,3.63s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,Yes,65,79,58,5.61s,11.28s,5.12s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,No,60,66,80,6.26s,7.39s,3.29s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,No,Yes,136,116,131,11.37s,15.08s,10.80s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,Yes,116,120,118,8.46s,13.43s,8.27s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,Yes,Yes,113,147,144,10.13s,19.36s,13.66s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,119,87,99,11.27s,13.93s,21.41s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,No,Yes,103,100,91,9.96s,13.52s,10.25s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,N/A,87,81,96,8.76s,10.60s,5.19s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,Yes,Yes,80,78,80,7.01s,12.41s,6.35s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,63,63,91,3.12s,10.36s,8.25s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,Yes,No,111,130,155,11.36s,16.58s,14.12s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,Yes,No,100,89,110,7.83s,9.08s,4.76s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
