Circuit,Model,Complexity,PromptOnly_Correct,MermaidOnly_Correct,Combined_Correct,PromptOnly_LOC,MermaidOnly_LOC,Combined_LOC,PromptOnly_Time,MermaidOnly_Time,Combined_Time,Best_Approach,Correctness_Ranking,Simulation_Ranking
combined,claude,simple,Yes,Yes,Yes,46,74,56,4.65s,9.55s,5.48s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,44,55,51,5.10s,6.75s,6.15s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,No,No,N/A,54,61,96,4.77s,7.74s,9.01s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,No,Yes,53,52,51,3.74s,6.37s,1.67s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,N/A,N/A,52,73,65,4.74s,10.06s,6.21s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,52,52,52,3.74s,4.38s,6.20s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,49,71,72,4.80s,9.84s,6.13s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,47,81,81,3.55s,19.56s,13.87s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,72,60,63,7.92s,9.13s,6.26s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,58,54,65,5.31s,6.15s,4.36s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,N/A,70,83,78,6.71s,11.78s,7.16s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,N/A,Yes,55,86,81,5.93s,12.66s,5.17s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,63,93,73,5.85s,14.10s,6.42s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,58,65,66,4.20s,6.58s,3.98s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,105,88,91,8.36s,12.73s,7.59s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,109,83,101,11.09s,10.71s,6.59s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,No,Yes,Yes,69,66,74,6.39s,11.02s,7.24s,tie,mermaid_only > combined > prompt_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,Yes,No,62,66,64,6.84s,6.42s,4.14s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,Yes,55,76,74,5.35s,10.40s,6.83s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,Yes,61,57,74,6.81s,6.98s,5.74s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,N/A,N/A,131,127,122,11.24s,15.73s,11.30s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,N/A,115,119,118,9.15s,13.04s,8.53s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,N/A,N/A,116,132,162,11.10s,15.78s,14.34s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,N/A,124,89,107,7.66s,8.16s,12.65s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,No,Yes,100,88,94,9.72s,12.86s,10.01s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,Yes,83,81,89,10.14s,10.43s,11.93s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,Yes,N/A,75,65,80,6.66s,10.83s,6.44s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,63,90,57,4.14s,10.90s,6.37s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,N/A,N/A,114,114,137,11.10s,17.40s,13.56s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,Yes,97,73,84,10.29s,8.65s,8.27s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
